Rk,Player,Team,Pos,G,GS,MPâ¼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
80.0,Aidan Mahaney,Connecticut,G,34.0,5.0,420.0,52.0,138.0,0.377,23.0,64.0,0.359,29.0,74.0,0.392,0.46,25.0,33.0,0.758,4.0,23.0,27.0,44.0,7.0,0.0,20.0,50.0,152.0,
81.0,David Thomas,DePaul,G,27.0,2.0,407.0,41.0,93.0,0.441,11.0,41.0,0.268,30.0,52.0,0.577,0.5,15.0,21.0,0.714,8.0,31.0,39.0,39.0,13.0,6.0,39.0,32.0,108.0,
82.0,Mason Miller,Creighton,F,32.0,4.0,377.0,10.0,46.0,0.217,7.0,41.0,0.171,3.0,5.0,0.6,0.293,8.0,12.0,0.667,14.0,37.0,51.0,15.0,4.0,1.0,11.0,22.0,35.0,
83.0,Jayden Ross,Connecticut,F,33.0,1.0,375.0,32.0,79.0,0.405,10.0,45.0,0.222,22.0,34.0,0.647,0.468,4.0,6.0,0.667,9.0,40.0,49.0,27.0,9.0,13.0,11.0,43.0,78.0,
84.0,Jabri Abdur-Rahim,Providence,G,22.0,1.0,355.0,41.0,109.0,0.376,34.0,93.0,0.366,7.0,16.0,0.438,0.532,42.0,48.0,0.875,7.0,50.0,57.0,14.0,8.0,4.0,12.0,34.0,158.0,
85.0,David Skogman,DePaul,F,20.0,14.0,351.0,49.0,105.0,0.467,20.0,54.0,0.37,29.0,51.0,0.569,0.562,9.0,16.0,0.563,24.0,78.0,102.0,23.0,5.0,6.0,17.0,29.0,127.0,
86.0,John Hugley IV,Xavier,F,34.0,0.0,336.0,32.0,68.0,0.471,10.0,20.0,0.5,22.0,48.0,0.458,0.544,24.0,40.0,0.6,18.0,49.0,67.0,25.0,1.0,2.0,28.0,46.0,98.0,
87.0,Christ Essandoko,Providence,C,22.0,7.0,328.0,36.0,71.0,0.507,3.0,14.0,0.214,33.0,57.0,0.579,0.528,19.0,36.0,0.528,22.0,63.0,85.0,18.0,5.0,14.0,26.0,30.0,94.0,
88.0,Josiah Moseley,Villanova,F,30.0,0.0,309.0,23.0,40.0,0.575,0.0,3.0,0.0,23.0,37.0,0.622,0.575,12.0,18.0,0.667,30.0,38.0,68.0,4.0,2.0,4.0,8.0,29.0,58.0,
89.0,Tre Norman,Marquette,G,34.0,0.0,304.0,22.0,64.0,0.344,6.0,32.0,0.188,16.0,32.0,0.5,0.391,13.0,26.0,0.5,14.0,37.0,51.0,16.0,12.0,3.0,17.0,37.0,63.0,
90.0,Damarius Owens,Marquette,F,30.0,0.0,286.0,24.0,70.0,0.343,11.0,32.0,0.344,13.0,38.0,0.342,0.421,20.0,24.0,0.833,13.0,22.0,35.0,15.0,10.0,5.0,18.0,27.0,79.0,
91.0,Kris Parker,Villanova,G,27.0,0.0,271.0,24.0,55.0,0.436,5.0,25.0,0.2,19.0,30.0,0.633,0.482,18.0,30.0,0.6,9.0,29.0,38.0,13.0,5.0,5.0,16.0,49.0,71.0,
92.0,Emmanuel Okorafor,Seton Hall,F,25.0,9.0,270.0,29.0,55.0,0.527,0.0,1.0,0.0,29.0,54.0,0.537,0.527,10.0,25.0,0.4,23.0,31.0,54.0,6.0,6.0,7.0,12.0,43.0,68.0,
93.0,Fedor Å½ugiÄ,Creighton,G,22.0,0.0,260.0,30.0,62.0,0.484,16.0,40.0,0.4,14.0,22.0,0.636,0.613,24.0,33.0,0.727,3.0,33.0,36.0,17.0,5.0,4.0,16.0,16.0,100.0,
94.0,David Tubek,Seton Hall,F,25.0,1.0,259.0,21.0,59.0,0.356,9.0,25.0,0.36,12.0,34.0,0.353,0.432,15.0,21.0,0.714,27.0,15.0,42.0,8.0,11.0,4.0,7.0,17.0,66.0,
95.0,RubÃ©n Prey,St. John's (NY),F,33.0,1.0,255.0,20.0,50.0,0.4,3.0,17.0,0.176,17.0,33.0,0.515,0.43,9.0,16.0,0.563,20.0,29.0,49.0,10.0,13.0,11.0,4.0,29.0,52.0,
96.0,Pop Isaacs,Creighton,G,8.0,8.0,253.0,41.0,100.0,0.41,23.0,60.0,0.383,18.0,40.0,0.45,0.525,25.0,29.0,0.862,3.0,35.0,38.0,31.0,4.0,1.0,23.0,6.0,130.0,
97.0,Sadiku Ibine Ayo,St. John's (NY),F,31.0,2.0,248.0,20.0,58.0,0.345,12.0,31.0,0.387,8.0,27.0,0.296,0.448,6.0,8.0,0.75,12.0,30.0,42.0,9.0,6.0,5.0,7.0,21.0,58.0,
98.0,Vincent Iwuchukwu,St. John's (NY),F,34.0,1.0,243.0,39.0,72.0,0.542,0.0,3.0,0.0,39.0,69.0,0.565,0.542,13.0,18.0,0.722,18.0,40.0,58.0,5.0,4.0,17.0,12.0,34.0,91.0,
99.0,Justyn Fernandez,Providence,G,24.0,4.0,242.0,31.0,77.0,0.403,20.0,52.0,0.385,11.0,25.0,0.44,0.532,5.0,6.0,0.833,15.0,18.0,33.0,9.0,6.0,4.0,11.0,17.0,87.0,
100.0,Gus Yalden,Seton Hall,F,26.0,0.0,218.0,18.0,49.0,0.367,1.0,14.0,0.071,17.0,35.0,0.486,0.378,9.0,16.0,0.563,22.0,16.0,38.0,8.0,7.0,5.0,8.0,41.0,46.0,
101.0,Fredrick King,Creighton,C,36.0,1.0,215.0,42.0,63.0,0.667,0.0,0.0,,42.0,63.0,0.667,0.667,14.0,24.0,0.583,19.0,27.0,46.0,4.0,4.0,15.0,12.0,24.0,98.0,
